"","TrophicSpecies","Ad_stat","Ad_pvalue","KS_stat","KS_pvalue","QSS_all","QSS_ext","difQSS","Degree","Betweenness","TLu","Omnu","meanTrophicSimil","InStrength_sum","OutStrength_sum","AllStrength_sum","AllStrength_mean","AllStrength_Q1","AllStrength_Q3","AllStrength_count","cumsum_str","prop_str","rank_spp","prop_spp","Habitat"
"1","Orcinus orca",112.58,7.4925e-48,0.254,0,0.0048616675508605,0.00448229093437301,0.000379376616487487,26,0,5.027,0.274,0.0371229286056448,0.0422972371479594,0,0.0422972371479594,0.00162681681338306,0.0008862398762198,0.00254378031551185,26,0.796188557584696,0.243956544142592,15,0.0306122448979592,"Benthopelagic"
"2","Mesonychoteuthis hamiltoni",15.907,2.0116e-07,0.101,7.42663338888505e-05,0.0048616675508605,0.00471844873477609,0.000143218816084411,29,0,4.411,0.499,0.0278100086123582,0.00828689733476398,0.0382819559887606,0.0465688533235246,0.0016058225283974,0.00106612415934951,0.00208987115703335,29,0.665135454146738,0.203801153928403,12,0.0244897959183673,"Pelagic"
"3","Mirounga leonina",13.417,2.2133e-06,0.105,3.25786686569129e-05,0.0048616675508605,0.00470667461013021,0.000154992940730283,56,0,4.868,0.142,0.079987057062513,0.0561829125422559,0.00387220909039166,0.0600551216326476,0.00107241288629728,0.000827997024896418,0.00116162820878024,56,0.245126785040728,0.0751081923818764,4,0.00816326530612245,"Land-based"
"4","Physeter macrocephalus",-0.95665,0.9578,0.022,0.968870172878153,0.0048616675508605,0.00487891752237875,-1.72499715182586e-05,20,0,4.471,0.512,0.0483834968932664,0.0203075608393863,0,0.0203075608393863,0.00101537804196931,0.000622830248413499,0.00125897077866115,20,2.03224325390011,0.622690487517874,62,0.126530612244898,"Benthopelagic"
"5","Leptonychotes weddelli",2.2102,0.039962,0.05,0.164079197726652,0.0048616675508605,0.00481970248207051,4.19650687899864e-05,59,0,4.859,0.204,0.0839772935358819,0.0527335346101499,0.00297996869030912,0.055713503300459,0.000944296666109474,0.00069834209212595,0.00104967327460502,59,0.416529747579279,0.127627000895724,7,0.0142857142857143,"Land-based"
"6","Galiteuthis glacialis",-0.67343,0.75883,0.03,0.75909783849229,0.0048616675508605,0.00485353006908633,8.13748177416231e-06,30,0,3.256,0.014,0.0390380704310556,0.00116781116803743,0.0268957754270981,0.0280635865951355,0.000935452886504516,0.000821572158120895,0.00117468085100764,30,1.31167162841333,0.401903386414295,31,0.063265306122449,"Pelagic"
"7","Ommatophoca rossii",1.7108,0.063148,0.048,0.1995183494038,0.0048616675508605,0.00480527814597182,5.63894048886794e-05,56,0,4.868,0.142,0.079987057062513,0.0493248570652109,0.00268937424147369,0.0520142313066846,0.000928825559047939,0.000726926267354309,0.00101983223667709,56,0.468543978885963,0.143564446862426,8,0.0163265306122449,"Land-based"
"8","Hydrurga leptonyx",11.405,1.5333e-05,0.089,0.000726078211583547,0.0048616675508605,0.00476052846867341,0.000101139082187082,67,0,4.716,0.346,0.0942889994853513,0.05831384353787,0.00324011872924076,0.0615539622671107,0.000918715854732996,0.000675888657598275,0.00106796339040499,67,0.124417872446461,0.0381223190191145,2,0.00408163265306122,"Land-based"
"9","Tursiops truncatus",-0.5667,0.67724,0.033,0.647557292503006,0.0048616675508605,0.00490635220233924,-4.46846514787448e-05,20,0,4.471,0.512,0.0483834968932664,0.0180238329835249,0,0.0180238329835249,0.000901191649176246,0.000552788612245345,0.00111739067164172,20,2.33712222149988,0.716107076602037,78,0.159183673469388,"Benthopelagic"
"10","Arctocephalus gazella",13.399,2.2522e-06,0.097,0.000163965778525621,0.0048616675508605,0.00471163156940506,0.000150035981455438,61,1,4.666,0.331,0.0932509525095296,0.0453060098592113,0.00513576630315496,0.0504417761623663,0.00082691436331748,0.000617972430095449,0.00097722293222564,61,0.570634782060161,0.174845629308293,10,0.0204081632653061,"Land-based"
"11","Lagenorhynchus cruciger",-0.061031,0.38216,0.04,0.400473665960806,0.0048616675508605,0.00487545581338452,-1.37882625240284e-05,20,0,4.471,0.512,0.0483834968932664,0.0160979778193661,0,0.0160979778193661,0.000804898890968303,0.000493722884963362,0.00099799694460646,20,2.55953641769616,0.784256007097719,91,0.185714285714286,"Benthopelagic"
"12","Gonatus antarcticus",1.5039,0.076653,0.053,0.120504073654557,0.0048616675508605,0.00485754118437297,4.12636648752188e-06,36,12,4.308,0.224,0.0459164678326972,0.00530851097855098,0.0234006447375785,0.0287091557161295,0.000797476547670264,0.000629218914807914,0.00102900052240761,36,1.22710354199044,0.37599126055925,28,0.0571428571428571,"Pelagic"
"13","Kondakovia longimana",0.053547,0.33617,0.032,0.685231404257084,0.0048616675508605,0.00485053173447848,1.11358163820208e-05,25,7,3.256,0.014,0.0391213382174982,0.00107283935389928,0.0177814850677162,0.0188543244216155,0.000754172976864621,0.000659269368793392,0.000954769096140287,25,2.228020415443,0.682677684391109,72,0.146938775510204,"Pelagic"
"14","Macrourus holotrachys",27.917,1.9112e-12,0.132,5.41854822122545e-08,0.0048616675508605,0.00467620494591733,0.000185462604943166,85,1028,4.705,0.316,0.111507153346698,0.040396389213957,0.022467520965393,0.0628639101793499,0.000739575413874705,0.000582668819238765,0.000869855482008404,85,0.0628639101793499,0.019261847124716,1,0.00204081632653061,"Benthopelagic"
"15","Notothenia marmorata",8.212,0.0002461,0.076,0.00620218984017928,0.0048616675508605,0.00476536026564047,9.6307285220025e-05,44,0,4.092,0.344,0.0906582267175082,0.00615560670404094,0.0262805669062822,0.0324361736103231,0.00073718576387098,0.000418283994095999,0.00100029775601467,44,1.01628343681601,0.311394823190003,21,0.0428571428571429,"Demersal"
"16","Martialia hyadesi",4.8282,0.0041299,0.078,0.0045580844007258,0.0048616675508605,0.00474660648478841,0.000115061066072088,33,344,4.518,0.205,0.0429472770033119,0.00625105906945352,0.0177533862833274,0.0240044453527809,0.000727407434932754,0.000608295211418297,0.000925433069920328,33,1.6197787621502,0.496309103321536,43,0.0877551020408163,"Pelagic"
"17","Aptenodytes forsteri",-0.34156,0.52594,0.034,0.609918964916604,0.0048616675508605,0.00483473697618576,2.69305746747371e-05,53,0,4.777,0.211,0.0843315900978557,0.038223543482824,0,0.038223543482824,0.000721198933638189,0.000573716163343339,0.000834153167138831,53,0.917970944767314,0.281271336011284,18,0.036734693877551,"Land-based"
"18","Lobodon carcinophaga",-0.44406,0.59079,0.03,0.75909783849229,0.0048616675508605,0.0048590201500429,2.64740081760105e-06,28,0,4.239,0.553,0.0606248220555625,0.0169584919733921,0.00296900942631796,0.01992750139971,0.000711696478561072,0.000332533257031195,0.000916233249785185,28,2.09237652935191,0.641115653174233,65,0.13265306122449,"Land-based"
