resource,consumer
Phytodetritus,Abatus cavernosus
Sediment,Abatus cavernosus
Phytodetritus,Abatus curvidens
Sediment,Abatus curvidens
Phytodetritus,Abatus nimrodi
Sediment,Abatus nimrodi
Phytodetritus,Abatus shackeltoni
Sediment,Abatus shackeltoni
Phytodetritus,Abyssocucumis liouvillei
Abyssocucumis liouvillei,Abyssorchomene nodimanus
Achlyonice violaecuspidata,Abyssorchomene nodimanus
Aethotaxis mitopteryx,Abyssorchomene nodimanus
Artedidraco loennbergi,Abyssorchomene nodimanus
Artedidraco orianae,Abyssorchomene nodimanus
Artedidraco skottsbergi,Abyssorchomene nodimanus
Barrukia cristata,Abyssorchomene nodimanus
Bathylagus antarcticus,Abyssorchomene nodimanus
Bathyplotes bongraini,Abyssorchomene nodimanus
Bathyplotes gourdoni,Abyssorchomene nodimanus
Chaenodraco wilsoni,Abyssorchomene nodimanus
Chionodraco hamatus,Abyssorchomene nodimanus
Chionodraco myersi,Abyssorchomene nodimanus
Chiridota weddellensis,Abyssorchomene nodimanus
Cryodraco antarcticus,Abyssorchomene nodimanus
Cygnodraco mawsoni,Abyssorchomene nodimanus
Dacodraco hunteri,Abyssorchomene nodimanus
Dissostichus mawsoni,Abyssorchomene nodimanus
Dolloidraco longedorsalis,Abyssorchomene nodimanus
Echinopsolus acanthocola,Abyssorchomene nodimanus
Ekmocucumis steineni,Abyssorchomene nodimanus
Ekmocucumis turqueti,Abyssorchomene nodimanus
Ekmocucumis turqueti turqueti,Abyssorchomene nodimanus
Electrona antarctica,Abyssorchomene nodimanus
Elpidia glacialis,Abyssorchomene nodimanus
Eucranta mollis,Abyssorchomene nodimanus
Eulagisca gigantea,Abyssorchomene nodimanus
Eunoe hartmanae,Abyssorchomene nodimanus
Eunoe spica,Abyssorchomene nodimanus
Eunoe spica spicoides,Abyssorchomene nodimanus
Gerlachea australis,Abyssorchomene nodimanus
Gymnodraco acuticeps,Abyssorchomene nodimanus
Gymnoscopelus braueri,Abyssorchomene nodimanus
Gymnoscopelus nicholsi,Abyssorchomene nodimanus
Gymnoscopelus opisthopterus,Abyssorchomene nodimanus
Harmothoe crosetensis,Abyssorchomene nodimanus
Harmothoe spinosa,Abyssorchomene nodimanus
Harmotoe hartmanae,Abyssorchomene nodimanus
Harpagifer antarcticus,Abyssorchomene nodimanus
Laetmogone wyvillethompsoni,Abyssorchomene nodimanus
Laetmonice producta,Abyssorchomene nodimanus
Macrourus holotrachys,Abyssorchomene nodimanus
Macrourus whitsoni,Abyssorchomene nodimanus
Mesothuria lactea,Abyssorchomene nodimanus
Molpadia musculus,Abyssorchomene nodimanus
Muraenolepis marmoratus,Abyssorchomene nodimanus
Muraenolepis microps,Abyssorchomene nodimanus
Notolepis coatsi,Abyssorchomene nodimanus
Notothenia coriiceps,Abyssorchomene nodimanus
Notothenia marmorata,Abyssorchomene nodimanus
Pagetopsis macropterus,Abyssorchomene nodimanus
Pagetopsis maculatus,Abyssorchomene nodimanus
Pareledone antarctica,Abyssorchomene nodimanus
Pareledone charcoti,Abyssorchomene nodimanus
Pelagobia longicirrata,Abyssorchomene nodimanus
Phyllocomus crocea,Abyssorchomene nodimanus
Phytodetritus,Abyssorchomene nodimanus
Pista spinifera,Abyssorchomene nodimanus
Pleuragramma antarcticum,Abyssorchomene nodimanus
Pogonophryne barsukovi,Abyssorchomene nodimanus
Pogonophryne marmorata,Abyssorchomene nodimanus
Pogonophryne permitini,Abyssorchomene nodimanus
Pogonophryne phyllopogon,Abyssorchomene nodimanus
Pogonophryne scotti,Abyssorchomene nodimanus
Polyeunoa laevis,Abyssorchomene nodimanus
Prionodraco evansii,Abyssorchomene nodimanus
Protomyctophum bolini,Abyssorchomene nodimanus
Pseudostichopus mollis,Abyssorchomene nodimanus
Pseudostichopus villosus,Abyssorchomene nodimanus
Psolidium incertum,Abyssorchomene nodimanus
Psolus antarcticus,Abyssorchomene nodimanus
Psolus charcoti,Abyssorchomene nodimanus
Psolus dubiosus,Abyssorchomene nodimanus
Racovitzia glacialis,Abyssorchomene nodimanus
Rhynchonereella bongraini,Abyssorchomene nodimanus
Scotoplanes globosa,Abyssorchomene nodimanus
Taeniogyrus contortus,Abyssorchomene nodimanus
Terebella ehlersi,Abyssorchomene nodimanus
Trachythyone parva,Abyssorchomene nodimanus
Trematomus bernacchii,Abyssorchomene nodimanus
Trematomus eulepidotus,Abyssorchomene nodimanus
Trematomus hansoni,Abyssorchomene nodimanus
Trematomus lepidorhinus,Abyssorchomene nodimanus
Trematomus loennbergii,Abyssorchomene nodimanus
Trematomus nicolai,Abyssorchomene nodimanus
Trematomus pennellii,Abyssorchomene nodimanus
Trematomus scotti,Abyssorchomene nodimanus
Vanadis antarctica,Abyssorchomene nodimanus
Ypsilocucumis turricata,Abyssorchomene nodimanus
Actinocyclus actinochilus,Abyssorchomene plebs
Actinocyclus spiritus,Abyssorchomene plebs
Actinocyclus utricularis,Abyssorchomene plebs
Azpeitia tabularis,Abyssorchomene plebs
Banquisia belgicae,Abyssorchomene plebs
Chaetoceros bulbosum,Abyssorchomene plebs
Chaetoceros concavicornis,Abyssorchomene plebs
Chaetoceros criophilum,Abyssorchomene plebs
Chaetoceros dichaeta,Abyssorchomene plebs
Chaetoceros flexuosum,Abyssorchomene plebs
Chaetoceros neglectum,Abyssorchomene plebs
Chaetoceros pelagicus,Abyssorchomene plebs
Chaetoceros socialis,Abyssorchomene plebs
Corethron criophilum,Abyssorchomene plebs
Coscinodiscus oculoides,Abyssorchomene plebs
Cylindrotheca closterium,Abyssorchomene plebs
Eucampia antarctica,Abyssorchomene plebs
Euphausia crystallorophias,Abyssorchomene plebs
Euphausia frigida,Abyssorchomene plebs
Euphausia superba,Abyssorchomene plebs
Fragilariopsis curta,Abyssorchomene plebs
Fragilariopsis cylindrus,Abyssorchomene plebs
Fragilariopsis kerguelensis,Abyssorchomene plebs
Fragilariopsis linearis,Abyssorchomene plebs
Fragilariopsis nana,Abyssorchomene plebs
Fragilariopsis obliquecostata,Abyssorchomene plebs
Fragilariopsis pseudonana,Abyssorchomene plebs
Fragilariopsis rhombica,Abyssorchomene plebs
Fragilariopsis ritscheri,Abyssorchomene plebs
Fragilariopsis separanda,Abyssorchomene plebs
Fragilariopsis sublinearis,Abyssorchomene plebs
Fragilariopsis vanheurckii,Abyssorchomene plebs
Manguinea fusiformis,Abyssorchomene plebs
Manguinea rigida,Abyssorchomene plebs
Navicula glaciei,Abyssorchomene plebs
Navicula schefterae,Abyssorchomene plebs
Nitzschia kerguelensis,Abyssorchomene plebs
Nitzschia lecointei,Abyssorchomene plebs
Nitzschia neglecta,Abyssorchomene plebs
Odontella weissflogii,Abyssorchomene plebs
Phytodetritus,Abyssorchomene plebs
Porosira glacialis,Abyssorchomene plebs
Porosira pseudodenticulata,Abyssorchomene plebs
Proboscia alata,Abyssorchomene plebs
Proboscia inermi,Abyssorchomene plebs
Proboscia truncata,Abyssorchomene plebs
Pseudo-Nitzschia heimii,Abyssorchomene plebs
Pseudo-Nitzschia liniola,Abyssorchomene plebs
Pseudo-Nitzschia prolongatoides,Abyssorchomene plebs
Pseudo-Nitzschia subcurvata,Abyssorchomene plebs
Rhizosolenia antennata,Abyssorchomene plebs
Stellarima microtrias,Abyssorchomene plebs
Thalassiosira antarctica,Abyssorchomene plebs
Thalassiosira australis,Abyssorchomene plebs
Thalassiosira frenguelliopsis,Abyssorchomene plebs
Thalassiosira gracilis,Abyssorchomene plebs
Thalassiosira gracilis expecta,Abyssorchomene plebs
Thalassiosira gravida,Abyssorchomene plebs
Thalassiosira lentiginosa,Abyssorchomene plebs
Thalassiosira ritscheri,Abyssorchomene plebs
Thalassiosira trifulta,Abyssorchomene plebs
Thalassiosira tumida,Abyssorchomene plebs
Thysanoessa macrura,Abyssorchomene plebs
Trichotoxon reinboldii,Abyssorchomene plebs
Actinocyclus actinochilus,Abyssorchomene rossi
Actinocyclus spiritus,Abyssorchomene rossi
Actinocyclus utricularis,Abyssorchomene rossi
Anoxycalyx joubini,Abyssorchomene rossi
Axociella nidificata,Abyssorchomene rossi
Azpeitia tabularis,Abyssorchomene rossi
Banquisia belgicae,Abyssorchomene rossi
Barrukia cristata,Abyssorchomene rossi
Bathydorus spinosus,Abyssorchomene rossi
Calanoides acutus,Abyssorchomene rossi
Calanus propinquus,Abyssorchomene rossi
Calyx arcuarius,Abyssorchomene rossi
Chaetoceros bulbosum,Abyssorchomene rossi
Chaetoceros concavicornis,Abyssorchomene rossi
Chaetoceros criophilum,Abyssorchomene rossi
Chaetoceros dichaeta,Abyssorchomene rossi
Chaetoceros flexuosum,Abyssorchomene rossi
Chaetoceros neglectum,Abyssorchomene rossi
Chaetoceros pelagicus,Abyssorchomene rossi
Chaetoceros socialis,Abyssorchomene rossi
Cinachyra antarctica,Abyssorchomene rossi
Cinachyra barbata,Abyssorchomene rossi
Clathria pauper,Abyssorchomene rossi
Corethron criophilum,Abyssorchomene rossi
Coscinodiscus oculoides,Abyssorchomene rossi
Cylindrotheca closterium,Abyssorchomene rossi
Eucampia antarctica,Abyssorchomene rossi
Eucranta mollis,Abyssorchomene rossi
Eulagisca gigantea,Abyssorchomene rossi
Eunoe hartmanae,Abyssorchomene rossi
Eunoe spica,Abyssorchomene rossi
Eunoe spica spicoides,Abyssorchomene rossi
Fragilariopsis curta,Abyssorchomene rossi
Fragilariopsis cylindrus,Abyssorchomene rossi
Fragilariopsis kerguelensis,Abyssorchomene rossi
Fragilariopsis linearis,Abyssorchomene rossi
Fragilariopsis nana,Abyssorchomene rossi
Fragilariopsis obliquecostata,Abyssorchomene rossi
Fragilariopsis pseudonana,Abyssorchomene rossi
Fragilariopsis rhombica,Abyssorchomene rossi
Fragilariopsis ritscheri,Abyssorchomene rossi
Fragilariopsis separanda,Abyssorchomene rossi
Fragilariopsis sublinearis,Abyssorchomene rossi
Fragilariopsis vanheurckii,Abyssorchomene rossi
Haliclona dancoi,Abyssorchomene rossi
Haliclona tenella,Abyssorchomene rossi
Harmothoe crosetensis,Abyssorchomene rossi
Harmothoe spinosa,Abyssorchomene rossi
Harmotoe hartmanae,Abyssorchomene rossi
Homaxinella balfourensis,Abyssorchomene rossi
Iophon radiatus,Abyssorchomene rossi
Isodyctia cavicornuta,Abyssorchomene rossi
Isodyctia steifera,Abyssorchomene rossi
Isodyctia toxophila,Abyssorchomene rossi
Kirkpatrickia variolosa,Abyssorchomene rossi
Laetmonice producta,Abyssorchomene rossi
Latrunculia apicalis,Abyssorchomene rossi
Latrunculia brevis,Abyssorchomene rossi
Manguinea fusiformis,Abyssorchomene rossi
Manguinea rigida,Abyssorchomene rossi
Metridia gerlachei,Abyssorchomene rossi
Mycale acerata,Abyssorchomene rossi
Navicula glaciei,Abyssorchomene rossi
Navicula schefterae,Abyssorchomene rossi
Nitzschia kerguelensis,Abyssorchomene rossi
Nitzschia lecointei,Abyssorchomene rossi
Nitzschia neglecta,Abyssorchomene rossi
Odontella weissflogii,Abyssorchomene rossi
Paraeuchaeta antarctica,Abyssorchomene rossi
Pelagobia longicirrata,Abyssorchomene rossi
Phorbas areolatus,Abyssorchomene rossi
Phorbas glaberrima,Abyssorchomene rossi
Phyllocomus crocea,Abyssorchomene rossi
Phytodetritus,Abyssorchomene rossi
Pista spinifera,Abyssorchomene rossi
Polyeunoa laevis,Abyssorchomene rossi
Polymastia invaginata,Abyssorchomene rossi
Polymastia isidis,Abyssorchomene rossi
Porosira glacialis,Abyssorchomene rossi
