con.taxonomy,res.taxonomy,con.mass.mean.g.,res.mass.mean.g.,interaction.dimensionality
Bodo saltans,Amphidinium hadai,2.28e-13,4e-12,3D
Bodo saltans,Gyrodinium lachryama,2.28e-13,1.2e-10,3D
Amphidinium hadai,Amphidinium hadai,4e-12,4e-12,3D
Amphidinium hadai,Gyrodinium lachryama,4e-12,1.2e-10,3D
Gyrodinium lachryama,Amphidinium hadai,1.2e-10,4e-12,3D
Gyrodinium lachryama,Gyrodinium lachryama,1.2e-10,1.2e-10,3D
Parvicorbucula socialis,Actinocyclus actinochilus,3.3e-13,4.06e-11,2D
Parvicorbucula socialis,Actinocyclus spiritus,3.3e-13,1.64e-11,2D
Parvicorbucula socialis,Actinocyclus utricularis,3.3e-13,4.01e-12,2D
Parvicorbucula socialis,Azpeitia tabularis,3.3e-13,1.14e-11,2D
Parvicorbucula socialis,Banquisia belgicae,3.3e-13,4.01e-12,2D
Parvicorbucula socialis,Chaetoceros bulbosum,3.3e-13,6.04e-13,2D
Parvicorbucula socialis,Chaetoceros concavicornis,3.3e-13,4.01e-12,2D
Parvicorbucula socialis,Chaetoceros criophilum,3.3e-13,4.01e-12,2D
Parvicorbucula socialis,Chaetoceros dichaeta,3.3e-13,6.04e-13,2D
Parvicorbucula socialis,Chaetoceros flexuosum,3.3e-13,1.67e-12,2D
Parvicorbucula socialis,Chaetoceros neglectum,3.3e-13,9.11e-14,2D
Parvicorbucula socialis,Chaetoceros pelagicus,3.3e-13,6.04e-13,2D
Parvicorbucula socialis,Chaetoceros socialis,3.3e-13,1.71e-13,3D
Parvicorbucula socialis,Corethron criophilum,3.3e-13,4.01e-12,2D
Parvicorbucula socialis,Coscinodiscus oculoides,3.3e-13,1.59e-9,2D
Parvicorbucula socialis,Cylindrotheca closterium,3.3e-13,4.89e-11,3D
Parvicorbucula socialis,Eucampia antarctica,3.3e-13,7.29e-12,2D
Parvicorbucula socialis,Fragilariopsis curta,3.3e-13,9.11e-14,2D
Parvicorbucula socialis,Fragilariopsis cylindrus,3.3e-13,1.53e-14,2D
Parvicorbucula socialis,Fragilariopsis kerguelensis,3.3e-13,3.29e-13,2D
Parvicorbucula socialis,Fragilariopsis linearis,3.3e-13,4.53e-13,2D
Parvicorbucula socialis,Fragilariopsis nana,3.3e-13,4.53e-13,2D
