id con_taxonomy res_taxonomy con_mass_mean res_mass_mean interaction_dim
"1" "Bodo saltans" "Amphidinium hadai" 2.28e-13 4e-12 "3D"
"2" "Bodo saltans" "Gyrodinium lachryama" 2.28e-13 1.2e-10 "3D"
"3" "Amphidinium hadai" "Amphidinium hadai" 4e-12 4e-12 "3D"
"4" "Amphidinium hadai" "Gyrodinium lachryama" 4e-12 1.2e-10 "3D"
"5" "Gyrodinium lachryama" "Amphidinium hadai" 1.2e-10 4e-12 "3D"
"6" "Gyrodinium lachryama" "Gyrodinium lachryama" 1.2e-10 1.2e-10 "3D"
"7" "Parvicorbucula socialis" "Actinocyclus actinochilus" 3.3e-13 4.06e-11 "2D"
"8" "Parvicorbucula socialis" "Actinocyclus spiritus" 3.3e-13 1.64e-11 "2D"
"9" "Parvicorbucula socialis" "Actinocyclus utricularis" 3.3e-13 4.01e-12 "2D"
"10" "Parvicorbucula socialis" "Azpeitia tabularis" 3.3e-13 1.14e-11 "2D"
"11" "Parvicorbucula socialis" "Banquisia belgicae" 3.3e-13 4.01e-12 "2D"
"12" "Parvicorbucula socialis" "Chaetoceros bulbosum" 3.3e-13 6.04e-13 "2D"
"13" "Parvicorbucula socialis" "Chaetoceros concavicornis" 3.3e-13 4.01e-12 "2D"
"14" "Parvicorbucula socialis" "Chaetoceros criophilum" 3.3e-13 4.01e-12 "2D"
"15" "Parvicorbucula socialis" "Chaetoceros dichaeta" 3.3e-13 6.04e-13 "2D"
"16" "Parvicorbucula socialis" "Chaetoceros flexuosum" 3.3e-13 1.67e-12 "2D"
"17" "Parvicorbucula socialis" "Chaetoceros neglectum" 3.3e-13 9.11e-14 "2D"
"18" "Parvicorbucula socialis" "Chaetoceros pelagicus" 3.3e-13 6.04e-13 "2D"
"19" "Parvicorbucula socialis" "Chaetoceros socialis" 3.3e-13 1.71e-13 "3D"
"20" "Parvicorbucula socialis" "Corethron criophilum" 3.3e-13 4.01e-12 "2D"
"21" "Parvicorbucula socialis" "Coscinodiscus oculoides" 3.3e-13 1.59e-09 "2D"
"22" "Parvicorbucula socialis" "Cylindrotheca closterium" 3.3e-13 4.89e-11 "3D"
"23" "Parvicorbucula socialis" "Eucampia antarctica" 3.3e-13 7.29e-12 "2D"
"24" "Parvicorbucula socialis" "Fragilariopsis curta" 3.3e-13 9.11e-14 "2D"
"25" "Parvicorbucula socialis" "Fragilariopsis cylindrus" 3.3e-13 1.53e-14 "2D"
"26" "Parvicorbucula socialis" "Fragilariopsis kerguelensis" 3.3e-13 3.29e-13 "2D"
"27" "Parvicorbucula socialis" "Fragilariopsis linearis" 3.3e-13 4.53e-13 "2D"
"28" "Parvicorbucula socialis" "Fragilariopsis nana" 3.3e-13 4.53e-13 "2D"
"29" "Parvicorbucula socialis" "Fragilariopsis obliquecostata" 3.3e-13 4.53e-13 "2D"
"30" "Parvicorbucula socialis" "Fragilariopsis pseudonana" 3.3e-13 9.11e-14 "2D"
"31" "Parvicorbucula socialis" "Fragilariopsis rhombica" 3.3e-13 4.53e-13 "2D"
"32" "Parvicorbucula socialis" "Fragilariopsis ritscheri" 3.3e-13 4.53e-13 "2D"
"33" "Parvicorbucula socialis" "Fragilariopsis separanda" 3.3e-13 6.04e-13 "2D"
"34" "Parvicorbucula socialis" "Fragilariopsis sublinearis" 3.3e-13 1.5e-13 "2D"
"35" "Parvicorbucula socialis" "Fragilariopsis vanheurckii" 3.3e-13 9.11e-14 "2D"
"36" "Parvicorbucula socialis" "Manguinea fusiformis" 3.3e-13 1.97e-10 "2D"
"37" "Parvicorbucula socialis" "Manguinea rigida" 3.3e-13 9.1e-12 "2D"
"38" "Parvicorbucula socialis" "Navicula glaciei" 3.3e-13 2.26e-14 "2D"
"39" "Parvicorbucula socialis" "Navicula schefterae" 3.3e-13 2.26e-14 "2D"
"40" "Parvicorbucula socialis" "Nitzschia kerguelensis" 3.3e-13 5.73e-12 "2D"
"41" "Parvicorbucula socialis" "Nitzschia lecointei" 3.3e-13 4.63e-11 "2D"
"42" "Parvicorbucula socialis" "Nitzschia neglecta" 3.3e-13 9.11e-14 "2D"
