species,Code,Environment
Actinocyclus actinochilus,1,Pelagic
Actinocyclus spiritus,2,Pelagic
Actinocyclus utricularis,3,Pelagic
Azpeitia tabularis,4,Pelagic
Banquisia belgicae,5,Pelagic
Chaetoceros bulbosum,6,Pelagic
Chaetoceros concavicornis,7,Pelagic
Chaetoceros criophilum,8,Pelagic
Chaetoceros dichaeta,9,Pelagic
Chaetoceros flexuosum,10,Pelagic
Chaetoceros neglectum,11,Pelagic
Chaetoceros pelagicus,12,Pelagic
Chaetoceros socialis,13,Pelagic
Corethron criophilum,14,Pelagic
Coscinodiscus oculoides,15,Pelagic
Cylindrotheca closterium,16,Pelagic
Eucampia antarctica,17,Pelagic
Fragilariopsis curta,18,Pelagic
Fragilariopsis cylindrus,19,Pelagic
Fragilariopsis kerguelensis,20,Pelagic
Fragilariopsis linearis,21,Pelagic
Fragilariopsis nana,22,Pelagic
Fragilariopsis obliquecostata,23,Pelagic
Fragilariopsis pseudonana,24,Pelagic
Fragilariopsis rhombica,25,Pelagic
Fragilariopsis ritscheri,26,Pelagic
Fragilariopsis separanda,27,Pelagic
Fragilariopsis sublinearis,28,Pelagic
Fragilariopsis vanheurckii,29,Pelagic
Manguinea fusiformis,30,Pelagic
Manguinea rigida,31,Pelagic
Navicula glaciei,32,Pelagic
Navicula schefterae,33,Pelagic
Nitzschia kerguelensis,34,Pelagic
Nitzschia lecointei,35,Pelagic
Nitzschia neglecta,36,Pelagic
Odontella weissflogii,37,Pelagic
Porosira glacialis,38,Pelagic
Porosira pseudodenticulata,39,Pelagic
Proboscia alata,40,Pelagic
Proboscia inermi,41,Pelagic
Proboscia truncata,42,Pelagic
Pseudo-Nitzschia heimii,43,Pelagic
Pseudo-Nitzschia liniola,44,Pelagic
Pseudo-Nitzschia prolongatoides,45,Pelagic
Pseudo-Nitzschia subcurvata,46,Pelagic
Rhizosolenia antennata,47,Pelagic
Stellarima microtrias,48,Pelagic
Thalassiosira antarctica,49,Pelagic
Thalassiosira australis,50,Pelagic
Thalassiosira frenguelliopsis,51,Pelagic
Thalassiosira gracilis,52,Pelagic
Thalassiosira gracilis expecta,53,Pelagic
Thalassiosira gravida,54,Pelagic
Thalassiosira lentiginosa,55,Pelagic
Thalassiosira ritscheri,56,Pelagic
Thalassiosira trifulta,57,Pelagic
Thalassiosira tumida,58,Pelagic
Trichotoxon reinboldii,59,Pelagic
Dictyocha speculum,60,Pelagic
Phaeocystis antarctica,61,Pelagic
Silicioflagellata,62,Pelagic
Bodo saltans,63,Pelagic
Amphidinium hadai,64,Pelagic
Gyrodinium lachryama,65,Pelagic
