"","resource","consumer"
"1","Amphidinium hadai","Bodo saltans"
"2","Gyrodinium lachryama","Bodo saltans"
"3","Amphidinium hadai","Amphidinium hadai"
"4","Gyrodinium lachryama","Amphidinium hadai"
"5","Amphidinium hadai","Gyrodinium lachryama"
"6","Gyrodinium lachryama","Gyrodinium lachryama"
"7","Actinocyclus actinochilus","Parvicorbucula socialis"
"8","Actinocyclus spiritus","Parvicorbucula socialis"
"9","Actinocyclus utricularis","Parvicorbucula socialis"
"10","Azpeitia tabularis","Parvicorbucula socialis"
"11","Banquisia belgicae","Parvicorbucula socialis"
"12","Chaetoceros bulbosum","Parvicorbucula socialis"
"13","Chaetoceros concavicornis","Parvicorbucula socialis"
"14","Chaetoceros criophilum","Parvicorbucula socialis"
"15","Chaetoceros dichaeta","Parvicorbucula socialis"
"16","Chaetoceros flexuosum","Parvicorbucula socialis"
"17","Chaetoceros neglectum","Parvicorbucula socialis"
"18","Chaetoceros pelagicus","Parvicorbucula socialis"
"19","Chaetoceros socialis","Parvicorbucula socialis"
"20","Corethron criophilum","Parvicorbucula socialis"
"21","Coscinodiscus oculoides","Parvicorbucula socialis"
"22","Cylindrotheca closterium","Parvicorbucula socialis"
"23","Eucampia antarctica","Parvicorbucula socialis"
"24","Fragilariopsis curta","Parvicorbucula socialis"
"25","Fragilariopsis cylindrus","Parvicorbucula socialis"
"26","Fragilariopsis kerguelensis","Parvicorbucula socialis"
"27","Fragilariopsis linearis","Parvicorbucula socialis"
"28","Fragilariopsis nana","Parvicorbucula socialis"
"29","Fragilariopsis obliquecostata","Parvicorbucula socialis"
"30","Fragilariopsis pseudonana","Parvicorbucula socialis"
"31","Fragilariopsis rhombica","Parvicorbucula socialis"
"32","Fragilariopsis ritscheri","Parvicorbucula socialis"
"33","Fragilariopsis separanda","Parvicorbucula socialis"
"34","Fragilariopsis sublinearis","Parvicorbucula socialis"
"35","Fragilariopsis vanheurckii","Parvicorbucula socialis"
"36","Manguinea fusiformis","Parvicorbucula socialis"
"37","Manguinea rigida","Parvicorbucula socialis"
"38","Navicula glaciei","Parvicorbucula socialis"
"39","Navicula schefterae","Parvicorbucula socialis"
"40","Nitzschia kerguelensis","Parvicorbucula socialis"
"41","Nitzschia lecointei","Parvicorbucula socialis"
"42","Nitzschia neglecta","Parvicorbucula socialis"
"43","Odontella weissflogii","Parvicorbucula socialis"
"44","Porosira glacialis","Parvicorbucula socialis"
"45","Porosira pseudodenticulata","Parvicorbucula socialis"
"46","Proboscia alata","Parvicorbucula socialis"
"47","Proboscia inermi","Parvicorbucula socialis"
"48","Proboscia truncata","Parvicorbucula socialis"
"49","Pseudo-Nitzschia heimii","Parvicorbucula socialis"
"50","Pseudo-Nitzschia liniola","Parvicorbucula socialis"
"51","Pseudo-Nitzschia prolongatoides","Parvicorbucula socialis"
"52","Pseudo-Nitzschia subcurvata","Parvicorbucula socialis"
"53","Rhizosolenia antennata","Parvicorbucula socialis"
"54","Stellarima microtrias","Parvicorbucula socialis"
"55","Thalassiosira antarctica","Parvicorbucula socialis"
"56","Thalassiosira australis","Parvicorbucula socialis"
"57","Thalassiosira frenguelliopsis","Parvicorbucula socialis"
"58","Thalassiosira gracilis","Parvicorbucula socialis"
"59","Thalassiosira gracilis expecta","Parvicorbucula socialis"
"60","Thalassiosira gravida","Parvicorbucula socialis"
"61","Thalassiosira lentiginosa","Parvicorbucula socialis"
"62","Thalassiosira ritscheri","Parvicorbucula socialis"
"63","Thalassiosira trifulta","Parvicorbucula socialis"
"64","Thalassiosira tumida","Parvicorbucula socialis"
"65","Trichotoxon reinboldii","Parvicorbucula socialis"
"66","Phytodetritus","Parvicorbucula socialis"
"67","Sediment","Parvicorbucula socialis"
"68","Actinocyclus actinochilus","Cassidulinoides parkerianus"
"69","Actinocyclus spiritus","Cassidulinoides parkerianus"
"70","Actinocyclus utricularis","Cassidulinoides parkerianus"
