id,name,group,habitat,mass.g,mass.reference
1,Detritus,Non-living,Non-living,-999.00000000000000,Jacob_etal_2011
35,Sediment,Non-living,Non-living,-999.00000000000000,Jacob_etal_2011
183,Necromass,Non-living,Non-living,-999.00000000000000,Jacob_etal_2011
127,Fragilariopsis_sp,Phytoplankton,Pelagic,0.00000000000002,Jacob_etal_2011
80,SilicioZooplankton,Zooplankton,Pelagic,0.00000000000003,Jacob_etal_2011
92,Tintinnidae,Zooplankton,Pelagic,0.00000000000003,"SilicioZooplankton, from Jacob_etal_2011"
23,Nanoplankton,Phytoplankton,Pelagic,0.00000000000033,"Parvicorbicula_socialis, from Jacob_etal_2011"
124,Chaetoceros_sp,Phytoplankton,Pelagic,0.00000000000131,Jacob_etal_2011
94,Corethron_sp,Phytoplankton,Pelagic,0.00000000000401,Jacob_etal_2011
2,Phytoplankton,Phytoplankton,Pelagic,0.00000000000568,Jacob_etal_2011
7,Bacillariophyta,Phytoplankton,Pelagic,0.00000000000568,Jacob_etal_2011
126,Entomoneis_sp,Phytoplankton,Pelagic,0.00000000000568,Jacob_etal_2011
125,Distephanus_sp,Phytoplankton,Pelagic,0.00000000000698,"Dictyocha_speculum, from Jacob_etal_2011"
73,Euchaeta_antarctica,Crustacea,Benthopelagic,0.00000000000729,Jacob_etal_2011
167,Thalassoica_antarctica,Aves,Land-based,0.00000000001140,Jacob_etal_2011
128,Nitzschia_sp,Phytoplankton,Pelagic,0.00000000001740,Jacob_etal_2011
238,Cassidulinoides_parkeriana,Miscellaneous,Benthic,0.00000000120000,Jacob_etal_2011
241,Cibicides_refulgens,Miscellaneous,Benthic,0.00000000120000,Jacob_etal_2011
285,Globocassidulina_crassa,Miscellaneous,Benthic,0.00000000120000,Jacob_etal_2011
308,Lenticulina_antarctica,Miscellaneous,Benthic,0.00000000120000,Jacob_etal_2011
344,Neogloboquadriana_pachyderma,Miscellaneous,Benthic,0.00000000120000,Jacob_etal_2011
37,Foraminifera,Miscellaneous,Benthic,0.00000000120000,"Cassidulinoides_parkerianus , from Jacob_etal_2011"
54,Nematoda,Miscellaneous,Benthic,0.00000012000000,Vanhove_etal_1995
290,Golfingia_nordenskojoeldi,Miscellaneous,Benthic,0.00000063000000,Jacob_etal_2011
380,Phascolion_strombi,Miscellaneous,Benthic,0.00000063000000,Jacob_etal_2011
291,Golfingia_ohlini,Miscellaneous,Benthic,0.00002800000000,Jacob_etal_2011
27,Cyclocardia_astartoides,Bivalvia,Benthic,0.00003000000000,Jacob_etal_2011
289,Golfingia_mawsoni,Miscellaneous,Benthic,0.00004100000000,Jacob_etal_2011
85,Limacina_helicina,Gastropoda,Benthic,0.00009400000000,Jacob_etal_2011
310,Limacina_helicina_antarctica,Gastropoda,Benthic,0.00009400000000,Jacob_etal_2011
106,Vibilia_antarctica,Crustacea,Pelagic,0.00011000000000,Jacob_etal_2011
107,Vibilia_stebbingi,Crustacea,Pelagic,0.00011000000000,Jacob_etal_2011
248,Crania_lecointei,Miscellaneous,Benthic,0.00014000000000,Jacob_etal_2011
29,Trophon_longstaffi,Gastropoda,Benthic,0.00026000000000,Jacob_etal_2011
176,Pentanymphon_antarcticum,Miscellaneous,Benthic,0.00034000000000,Jacob_etal_2011
69,Pantopoda,Miscellaneous,Benthic,0.00034000000000,"Pentanymphon_antarcticum , from Jacob_etal_2011"
68,Ostracoda,Crustacea,Benthic,0.00044000000000,Jacob_etal_2011
335,Metaconchoecia_isocheira,Crustacea,Benthic,0.00044000000000,Jacob_etal_2011
340,Myodocopa,Crustacea,Benthopelagic,0.00044000000000,Jacob_etal_2011
382,Podocopida,Crustacea,Benthopelagic,0.00044000000000,Jacob_etal_2011
195,Alacia_belgicae,Miscellaneous,Benthic,0.00044000000000,Jacob_etal_2011
196,Alacia_hettacra,Miscellaneous,Benthic,0.00044000000000,Jacob_etal_2011
230,Boroecia_antipoda,Miscellaneous,Benthic,0.00044000000000,Jacob_etal_2011
28,Philobrya_sublaevis,Bivalvia,Benthic,0.00056000000000,Jacob_etal_2011
316,Lissarca_notorcadensis,Bivalvia,Benthic,0.00056000000000,Jacob_etal_2011
235,Callochiton_gaussi,Miscellaneous,Benthic,0.00066000000000,Jacob_etal_2011
171,Echiurida,Polychaeta,Benthic,0.00088000000000,Jacob_etal_2011
266,Echiurus_antarcticus,Polychaeta,Benthic,0.00088000000000,Jacob_etal_2011
404,Puncturella_conica,Gastropoda,Benthic,0.00110000000000,Jacob_etal_2011
90,Sagitta_marri,Zooplankton,Pelagic,0.00130000000000,Jacob_etal_2011
410,Sagitta_gazellae,Zooplankton,Pelagic,0.00130000000000,Jacob_etal_2011
233,Cadulus_dalli_antarcticum,Miscellaneous,Benthic,0.00170000000000,Jacob_etal_2011
89,Pelagobia_longicirrata,Polychaeta,Benthic,0.00190000000000,Jacob_etal_2011
408,Rhynchonereella_bongraini,Polychaeta,Benthic,0.00190000000000,Jacob_etal_2011
413,Silicularia_rosea,Cnidaria,Benthic,0.00220000000000,Jacob_etal_2011
246,Composothyris_racovitzae,Miscellaneous,Benthic,0.00220000000000,Jacob_etal_2011
287,Golfingia_anderssoni,Miscellaneous,Benthic,0.00220000000000,Jacob_etal_2011
326,Magellania_joubini,Miscellaneous,Benthic,0.00220000000000,Jacob_etal_2011
86,Metridia_gerlachei,Crustacea,Pelagic,0.00230000000000,Jacob_etal_2011
133,Chaetognatha,Zooplankton,Pelagic,0.00260000000000,Jacob_etal_2011
311,Limopsis_lillei,Bivalvia,Benthic,0.00460000000000,Jacob_etal_2011
79,Eukrohnia_hamata,Zooplankton,Pelagic,0.00520000000000,Jacob_etal_2011
75,Calanoides_acutus,Crustacea,Benthopelagic,0.00550000000000,Jacob_etal_2011
76,Calanus_propinquus,Crustacea,Benthopelagic,0.00570000000000,Jacob_etal_2011
301,Hyperiella_dilatata,Crustacea,Benthopelagic,0.00570000000000,Jacob_etal_2011
302,Ihlea_racovitzai,Salpida,Pelagic,0.00740000000000,Jacob_etal_2011
411,Salpa_gerlachei,Salpida,Pelagic,0.00740000000000,Jacob_etal_2011
265,Echinopsolus_acanthocola,Echinodermata,Benthic,0.00810000000000,Jacob_etal_2011
201,Amauropsis_rossiana,Gastropoda,Benthic,0.01000000000000,Jacob_etal_2011
327,Marseniopsis_mollis,Gastropoda,Benthic,0.01000000000000,Jacob_etal_2011
329,Maxmuelleria_faex,Polychaeta,Benthic,0.01000000000000,Jacob_etal_2011
395,Propeleda_longicaudata,Bivalvia,Benthic,0.01200000000000,Jacob_etal_2011
222,Bargmannia_sp,Cnidaria,Benthic,0.01200000000000,Jacob_etal_2011
244,Clione_limacina,Gastropoda,Benthic,0.01400000000000,Jacob_etal_2011
64,Gnathia_calva,Crustacea,Benthopelagic,0.01600000000000,Jacob_etal_2011
132,Clio_pyramidata,Gastropoda,Benthic,0.01700000000000,Jacob_etal_2011
267,Edwardsia_meridionalis,Cnidaria,Benthic,0.01800000000000,Jacob_etal_2011
194,Aegires_albus,Gastropoda,Benthic,0.01800000000000,Jacob_etal_2011
256,Cylichna_sp,Gastropoda,Benthic,0.01800000000000,"Newnesia_antarctica, Jacob_etal_2011"
294,Hamingia_sp,Polychaeta,Benthic,0.01800000000000,Jacob_etal_2011
121,Rhincalanus_gigas,Crustacea,Pelagic,0.02000000000000,Jacob_etal_2011
99,Yoldia_eightsi,Bivalvia,Benthic,0.02300000000000,Jacob_etal_2011
412,Scotoplanes_globosa,Echinodermata,Benthic,0.02400000000000,Jacob_etal_2011
103,Pteropoda,Gastropoda,Benthic,0.02623760000000,Jacob_etal_2011
33,Zooplankton,Zooplankton,Pelagic,0.02862857142858,Jacob_etal_2011
151,Tubularia,Cnidaria,Benthic,0.02900000000000,Jacob_etal_2011
430,Tubularia_ralphii,Cnidaria,Benthic,0.02900000000000,Jacob_etal_2011
67,Natatolana_obtusata,Crustacea,Benthic,0.03100000000000,Jacob_etal_2011
135,Djerboa_furcipes,Crustacea,Benthopelagic,0.03100000000000,Jacob_etal_2011
136,Natatolana_meridionalis,Crustacea,Benthic,0.03100000000000,Jacob_etal_2011
137,Oradarea_edentata,Crustacea,Benthopelagic,0.03100000000000,Jacob_etal_2011
295,Haplocheira_plumosa,Crustacea,Benthopelagic,0.03100000000000,Jacob_etal_2011
299,Heterophoxus_videns,Crustacea,Benthopelagic,0.03100000000000,Jacob_etal_2011
341,Natatolana_oculata,Crustacea,Benthic,0.03100000000000,Jacob_etal_2011
361,Ophioceres_incipiens,Echinodermata,Benthic,0.04100000000000,Jacob_etal_2011
305,Isotealia_antarctica,Cnidaria,Benthic,0.04300000000000,Jacob_etal_2011
398,Psolidium_incertum,Echinodermata,Benthic,0.04300000000000,Jacob_etal_2011
422,Trachythyone_parva,Echinodermata,Benthic,0.04300000000000,Jacob_etal_2011
374,Parmaphorella_mawsoni,Gastropoda,Benthic,0.04300000000000,Jacob_etal_2011
232,Bovallia_gigantea,Crustacea,Benthopelagic,0.04500000000000,Momo_1995
237,Campylaspis_maculata,Crustacea,Benthopelagic,0.05300000000000,Jacob_etal_2011
261,Diastylis_mawsoni,Crustacea,Benthopelagic,0.05300000000000,Jacob_etal_2011
268,Ekleptostylis_debroyeri,Crustacea,Benthopelagic,0.05300000000000,Jacob_etal_2011
277,Eudorella_splendida,Crustacea,Benthopelagic,0.05300000000000,Jacob_etal_2011
433,Vaunthompsonia_inermis,Crustacea,Benthic,0.05300000000000,Jacob_etal_2011
131,Brachiopoda,Miscellaneous,Benthic,0.05640000000000,Jacob_etal_2011
400,Psolus_charcoti,Echinodermata,Benthic,0.06200000000000,Jacob_etal_2011
334,Mesothuria_lactea,Echinodermata,Benthic,0.06600000000000,Jacob_etal_2011
358,Ophiacantha_antarctica,Echinodermata,Benthic,0.06700000000000,Jacob_etal_2011
153,Ophiacantha_sp,Echinodermata,Benthic,0.06700000000000,"Ophiacantha_antarctica, from Jacob_etal_2011"
