Taxa,Mean Biomass,Stand Dev,Unit,Source
Porifera,11.3,23.4,g ww m-2,https://doi.org/10.3354/meps13093
Bryozoa,13.6,56.8,g ww m-2,https://doi.org/10.3354/meps13093
Bivalvia,0.5,0.5,g ww m-2,https://doi.org/10.3354/meps13093
Polychaeta,11.3,18.6,g ww m-2,https://doi.org/10.3354/meps13093
Clitellata,0.2,0.5,g ww m-2,https://doi.org/10.3354/meps13093
Amphipoda,0.4,0.5,g ww m-2,https://doi.org/10.3354/meps13093
Holothuroidea,1.3,3.3,g ww m-2,https://doi.org/10.3354/meps13093
Ophiuroidea,4.8,9.5,g ww m-2,https://doi.org/10.3354/meps13093
Tunicata,2.4,7.6,g ww m-2,https://doi.org/10.3354/meps13093
Phytoplankton,3,,mg m-3,https://doi.org/10.1029/2020GL087954
Phytoplankton,40,,mg C m-2 d-1,https://doi.org/10.1038/s41467-020-16931-0
Phytoplankton,13,,mg m-3,https://doi.org/10.1093/plankt/23.4.333
