Prey_name,Pred_name
Detritus,Abatus_cavernosus 
Detritus,Abatus_curvidens
Detritus,Abatus_nimrodi
Detritus,Abatus_shackeltoni
Detritus,Abyssocucumis_liouvillei
Phytoplankton,Abyssocucumis_liouvillei
Detritus,Abyssorchomene_nodimanus
Fish,Abyssorchomene_nodimanus
Holothuria_sp,Abyssorchomene_nodimanus
Octopoda,Abyssorchomene_nodimanus
Polychaeta,Abyssorchomene_nodimanus
Bacillariophyta,Abyssorchomene_plebs 
Crustacea,Abyssorchomene_plebs 
Detritus,Abyssorchomene_plebs 
Euphausia_superba,Abyssorchomene_plebs 
Bacillariophyta,Abyssorchomene_rossi
Copepoda,Abyssorchomene_rossi
Detritus,Abyssorchomene_rossi
Polychaeta,Abyssorchomene_rossi
Porifera,Abyssorchomene_rossi
Detritus,Achlyonice_violaecuspidata
Haliclona_dancoi,Acodontaster_conspicuus
Homaxinella_balfourensis,Acodontaster_conspicuus
Kirkpatrickia_variolosa,Acodontaster_conspicuus
Mycale_acerata,Acodontaster_conspicuus
Rossella_racovitzae,Acodontaster_conspicuus
Scolymastra_joubini,Acodontaster_conspicuus
Tetilla_leptoderma,Acodontaster_conspicuus
Detritus,Aega_antarctica
Porifera,Aegires_albus
Amphipoda,Aethotaxis_mitopteryx
Copepoda,Aethotaxis_mitopteryx
Crustacea,Aethotaxis_mitopteryx
Cumacea,Aethotaxis_mitopteryx
Isopoda,Aethotaxis_mitopteryx
Mysida,Aethotaxis_mitopteryx
Polychaeta,Aethotaxis_mitopteryx
Bacillariophyta,Alacia_belgicae
Detritus,Alacia_belgicae
Phytoplankton,Alacia_belgicae
Bacillariophyta,Alacia_hettacra
Detritus,Alacia_hettacra
Phytoplankton,Alacia_hettacra
Bacillariophyta,Alcyonidium_sp
Detritus,Alcyonidium_sp
Nanoplankton,Alcyonidium_sp
Phytoplankton,Alcyonium_antarcticum
Ophiuroidea,Alexandrella_mixta
Euphausia_superba,Alluroteuthis_antarcticus
Pleuragramma_antarcticum,Alluroteuthis_antarcticus
Psychroteuthis_glacialis,Alluroteuthis_antarcticus
Detritus,Alomasoma_belyaevi
Cyclocardia_astartoides,Amauropsis_rossiana
Euphausia_superba,Amauropsis_rossiana
Philobrya_sublaevis,Amauropsis_rossiana
Trophon_longstaffi,Amauropsis_rossiana
Bryozoa,Ammothea_carolinensis
Ctenophora,Ammothea_carolinensis
Gastropoda,Ammothea_carolinensis
Ophiuroidea,Ammothea_carolinensis
Polychaeta,Ammothea_carolinensis
Porifera,Ammothea_carolinensis
Bacillariophyta,Ampelisca_richardsoni
Detritus,Ampelisca_richardsoni
Bacillariophyta,Antarctomysis_maxima
Detritus,Antarctomysis_maxima
Zooplankton,Antarctomysis_maxima
Bacillariophyta,Anthomastus_bathyproctus
Detritus,Anthomastus_bathyproctus
Salpa_thompsoni,Anthomastus_bathyproctus
Detritus,Anthometra_adriani
Phytoplankton,Anthometra_adriani
Sediment,Anthometra_adriani
Bacillariophyta,Aplidium_vastum 
Bacteria,Aplidium_vastum 
Detritus,Aplidium_vastum 
Nanoplankton,Aplidium_vastum 
Amphipoda,Aporocidaris_milleri
Foraminifera,Aporocidaris_milleri
Gastropoda,Aporocidaris_milleri
Hydrozoa,Aporocidaris_milleri
Polychaeta,Aporocidaris_milleri
Electrona_antarctica,Aptenodytes_forsteri
Euphausia_superba,Aptenodytes_forsteri
Fish,Aptenodytes_forsteri
Galiteuthis_glacialis,Aptenodytes_forsteri
Gonatus_antarcticus,Aptenodytes_forsteri
Gymnoscopelus_braueri,Aptenodytes_forsteri
Gymnoscopelus_opisthopterus,Aptenodytes_forsteri
Kondakovia_longimana,Aptenodytes_forsteri
Notolepis_coatsi,Aptenodytes_forsteri
Protomyctophum_bolini,Aptenodytes_forsteri
Psychroteuthis_glacialis,Aptenodytes_forsteri
Thysanoessa_macrura,Aptenodytes_forsteri
Amphipoda,Arctocephalus_gazella 
Chaenodraco_wilsoni,Arctocephalus_gazella 
Chionodraco_sp,Arctocephalus_gazella 
Dissostichus_mawsoni,Arctocephalus_gazella 
Electrona_antarctica,Arctocephalus_gazella 
Euphausiacea,Arctocephalus_gazella 
Fish,Arctocephalus_gazella 
Gymnoscopelus_braueri,Arctocephalus_gazella 
Gymnoscopelus_nicholsi,Arctocephalus_gazella 
Myctophidae,Arctocephalus_gazella 
Nematoda,Arctocephalus_gazella 
Nototheniidae,Arctocephalus_gazella 
Pleuragramma_antarcticum,Arctocephalus_gazella 
Protomyctophum_bolini,Arctocephalus_gazella 
Pygoscelis_adeliae,Arctocephalus_gazella 
Trematomus_eulepidotus,Arctocephalus_gazella 
Detritus,Arcturidae
Actinaria,Artedidraco_loennbergi
Amphipoda,Artedidraco_loennbergi
Copepoda,Artedidraco_loennbergi
Crustacea,Artedidraco_loennbergi
Cumacea,Artedidraco_loennbergi
Gastropoda,Artedidraco_loennbergi
Isopoda,Artedidraco_loennbergi
Polychaeta,Artedidraco_loennbergi
Tanaidacea,Artedidraco_loennbergi
Copepoda,Artedidraco_orianae
Cyllopus_lucasii,Artedidraco_orianae
Epimeria_macrodonta,Artedidraco_orianae
Epimeria_robusta,Artedidraco_orianae
Eunoe_spica,Artedidraco_orianae
Euphausiacea,Artedidraco_orianae
Gnathia_calva,Artedidraco_orianae
Iphimediella_cyclogena,Artedidraco_orianae
Isopoda,Artedidraco_orianae
Liljeborgia_georgiana,Artedidraco_orianae
Natatolana_obtusata,Artedidraco_orianae
Ostracoda,Artedidraco_orianae
Pantopoda,Artedidraco_orianae
Polychaeta,Artedidraco_orianae
Amphipoda,Artedidraco_shackletoni
Anthozoa,Artedidraco_shackletoni
Crustacea,Artedidraco_shackletoni
Crustacea,Artedidraco_shackletoni
Cumacea,Artedidraco_shackletoni
Gastropoda,Artedidraco_shackletoni
Isopoda,Artedidraco_shackletoni
Isopoda,Artedidraco_shackletoni
Ostracoda,Artedidraco_shackletoni
Polychaeta,Artedidraco_shackletoni
Polychaeta,Artedidraco_shackletoni
Urticinopsis_antarctica,Artedidraco_shackletoni
Bacillariophyta,Ascidia_challengeri
Bacteria,Ascidia_challengeri
Detritus,Ascidia_challengeri
Nanoplankton,Ascidia_challengeri
Coelenterata,Astrochlamys_bruneus
Euchaeta_antarctica,Astrochlamys_bruneus
Zooplankton,Astrochlamys_bruneus
Bacillariophyta,Astrotoma_agassizii
Bivalvia,Astrotoma_agassizii
Bryozoa,Astrotoma_agassizii
Calanoides_acutus,Astrotoma_agassizii
Calanus_propinquus,Astrotoma_agassizii
Cnidaria,Astrotoma_agassizii
Crustacea,Astrotoma_agassizii
Detritus,Astrotoma_agassizii
Echinoidea,Astrotoma_agassizii
Euchaeta_antarctica,Astrotoma_agassizii
Eukrohnia_hamata,Astrotoma_agassizii
Euphausiacea,Astrotoma_agassizii
Fish,Astrotoma_agassizii
Foraminifera,Astrotoma_agassizii
Holothuria_sp,Astrotoma_agassizii
Hydrozoa,Astrotoma_agassizii
Mysida,Astrotoma_agassizii
Ostracoda,Astrotoma_agassizii
Polychaeta,Astrotoma_agassizii
Porifera,Astrotoma_agassizii
Sediment,Astrotoma_agassizii
SilicioZooplankton,Astrotoma_agassizii
Zooplankton,Astrotoma_agassizii
Foraminifera,Austrocidaris_canaliculata
Gastropoda,Austrocidaris_canaliculata
Bacillariophyta,Austrosisignum_grande
Detritus,Austrosisignum_grande
Bacteria,Axociella_nidificata
Detritus,Axociella_nidificata
Phytoplankton,Axociella_nidificata
Euphausiacea,Balaenoptera_acutorostrata
Fish,Balaenoptera_acutorostrata
Myctophidae,Balaenoptera_acutorostrata
Zooplankton,Balaenoptera_acutorostrata
Champsocephalus_gunnari,Balaenoptera_musculus
Dissostichus_mawsoni,Balaenoptera_musculus
Euphausiacea,Balaenoptera_musculus
Fish,Balaenoptera_musculus
Myctophidae,Balaenoptera_musculus
Squid,Balaenoptera_musculus
Zooplankton,Balaenoptera_musculus
Champsocephalus_gunnari,Balaenoptera_physalus
Dissostichus_mawsoni,Balaenoptera_physalus
Euphausiacea,Balaenoptera_physalus
Fish,Balaenoptera_physalus
Myctophidae,Balaenoptera_physalus
Squid,Balaenoptera_physalus
Zooplankton,Balaenoptera_physalus
Euphausiacea,Bargmannia_sp
Zooplankton,Bargmannia_sp
Bivalvia,Barrukia_cristata
Detritus,Barrukia_cristata
Ophiuroidea,Barrukia_cristata
Polychaeta,Barrukia_cristata
Actinaria,Baseodiscus_antarcticus
Adamussium_colbecki,Baseodiscus_antarcticus
Asteroidea,Baseodiscus_antarcticus
Bacillariophyta,Baseodiscus_antarcticus
Bivalvia,Baseodiscus_antarcticus
Crustacea,Baseodiscus_antarcticus
Ctenophora,Baseodiscus_antarcticus
Fish,Baseodiscus_antarcticus
Homaxinella_balfourensis,Baseodiscus_antarcticus
Polychaeta,Baseodiscus_antarcticus
Porifera,Baseodiscus_antarcticus
Detritus,Bathybiaster_loripes
Anthozoa,Bathydoris_clavigera
Echinoidea,Bathydoris_clavigera
Foraminifera,Bathydoris_clavigera
Hydrozoa,Bathydoris_clavigera
Porifera,Bathydoris_clavigera
Sediment,Bathydoris_clavigera
Urticinopsis_antarctica,Bathydoris_clavigera
Coelenterata,Bathylagus_antarcticus
Copepoda,Bathylagus_antarcticus
Euchaeta_antarctica,Bathylagus_antarcticus
Eukrohnia_hamata,Bathylagus_antarcticus
Euphausia_superba,Bathylagus_antarcticus
Foraminifera,Bathylagus_antarcticus
Limacina_helicina,Bathylagus_antarcticus
Metridia_gerlachei,Bathylagus_antarcticus
Oithona_sp,Bathylagus_antarcticus
Oncaea_sp,Bathylagus_antarcticus
Pelagobia_longicirrata,Bathylagus_antarcticus
Sagitta_marri,Bathylagus_antarcticus
Zooplankton,Bathylagus_antarcticus
Anthozoa,Bathypanoploea_schellenbergi
Bacillariophyta,Bathypanoploea_schellenbergi
Bryozoa,Bathypanoploea_schellenbergi
Crustacea,Bathypanoploea_schellenbergi
Holothuria_sp,Bathypanoploea_schellenbergi
Urticinopsis_antarctica,Bathypanoploea_schellenbergi
Detritus,Bathyplotes_bongraini
Detritus,Bathyplotes_gourdoni
Ctenophora,Beroe_cucumis
Pelagobia_longicirrata,Beroe_cucumis
Bacillariophyta,Boroecia_antipoda
Detritus,Boroecia_antipoda
Phytoplankton,Boroecia_antipoda
Bacillariophyta,Bostrychopora_dentata
Detritus,Bostrychopora_dentata
Nanoplankton,Bostrychopora_dentata
Waldeckia_obesa,Bovallia_gigantea
Bacillariophyta,Cadulus_dalli_antarcticum
Detritus,Cadulus_dalli_antarcticum
Bacillariophyta,Calanoides_acutus
Copepoda,Calanoides_acutus
Oithona_sp,Calanoides_acutus
Oncaea_sp,Calanoides_acutus
Pelagobia_longicirrata,Calanoides_acutus
SilicioZooplankton,Calanoides_acutus
Tintinnidae,Calanoides_acutus
Zooplankton,Calanoides_acutus
Bacillariophyta,Calanus_propinquus
Coelenterata,Calanus_propinquus
Copepoda,Calanus_propinquus
Euchaeta_antarctica,Calanus_propinquus
Oithona_sp,Calanus_propinquus
SilicioZooplankton,Calanus_propinquus
Tintinnidae,Calanus_propinquus
Zooplankton,Calanus_propinquus
Copepoda,Callianira_antarctica
Zooplankton,Callianira_antarctica
Bryozoa,Callochiton_gaussi
Bacteria,Calyx_arcuarius
Detritus,Calyx_arcuarius
Phytoplankton,Calyx_arcuarius
Bacillariophyta,Camptoplites_tricornis
Detritus,Camptoplites_tricornis
Nanoplankton,Camptoplites_tricornis
Bacillariophyta,Campylaspis_maculata
Bacillariophyta,Cassidulinoides_parkeriana
Detritus,Cassidulinoides_parkeriana
Sediment,Cassidulinoides_parkeriana
Bacillariophyta,Cellarinella_sp
Detritus,Cellarinella_sp
Nanoplankton,Cellarinella_sp
Detritus,Cephalodiscus_sp
Crustacea,Ceratoserolis_meridionalis
Polychaeta,Ceratoserolis_meridionalis
Euphausiacea,Chaenodraco_wilsoni
Mysida,Chaenodraco_wilsoni
Copepoda,Chionodraco_hamatus
Euphausiacea,Chionodraco_hamatus
Fish,Chionodraco_hamatus
Euphausiacea,Chionodraco_myersi
Fish,Chionodraco_myersi
Amphipoda,Chorismus_antarcticus
Bacillariophyta,Chorismus_antarcticus
Barrukia_cristata,Chorismus_antarcticus
Corethron_sp,Chorismus_antarcticus
Eucranta_mollis,Chorismus_antarcticus
Eulagisca_gigantea,Chorismus_antarcticus
Eunoe_spica,Chorismus_antarcticus
Foraminifera,Chorismus_antarcticus
Gastropoda,Chorismus_antarcticus
Isopoda,Chorismus_antarcticus
Laetmonice_producta,Chorismus_antarcticus
Nematoda,Chorismus_antarcticus
Polychaeta,Chorismus_antarcticus
Porifera,Chorismus_antarcticus
Taeniogyrus_contortus,Chorismus_antarcticus
Yoldia_eightsi,Chorismus_antarcticus
Zooplankton,Chorismus_antarcticus
Bacillariophyta,Cibicides_refulgens
Detritus,Cibicides_refulgens
Sediment,Cibicides_refulgens
Bacteria,Cinachyra_antarctica
Detritus,Cinachyra_antarctica
Phytoplankton,Cinachyra_antarctica
Bacteria,Cinachyra_barbata
Detritus,Cinachyra_barbata
Phytoplankton,Cinachyra_barbata
Bacillariophyta,Clavularia_frankliniana
Foraminifera,Clavularia_frankliniana
Nematoda,Clavularia_frankliniana
Phytoplankton,Clavularia_frankliniana
Zooplankton,Clavularia_frankliniana
Copepoda,Clio_pyramidata
Gnathia_calva,Clio_pyramidata
Oithona_sp,Clio_pyramidata
Pelagobia_longicirrata,Clio_pyramidata
Clione_antarctica,Clione_antarctica
Limacina_helicina,Clione_antarctica
Clione_antarctica,Clione_limacina
Limacina_helicina,Clione_limacina
Bacillariophyta,Cnemidocarpa_verrucosa
Bacteria,Cnemidocarpa_verrucosa
Detritus,Cnemidocarpa_verrucosa
Nanoplankton,Cnemidocarpa_verrucosa
Bryozoa,Colossendeis_sp
Ctenophora,Colossendeis_sp
Gastropoda,Colossendeis_sp
Ophiuroidea,Colossendeis_sp
Polychaeta,Colossendeis_sp
Porifera,Colossendeis_sp
Detritus,Composothyris_racovitzae
Bacillariophyta,Corella_eumyota
Bacteria,Corella_eumyota
Detritus,Corella_eumyota
Nanoplankton,Corella_eumyota
Detritus,Crania_lecointei
Euphausiacea,Cryodraco_antarcticus
Pleuragramma_antarcticum,Cryodraco_antarcticus
Bivalvia,Ctenocidaris_gigantea
Bryozoa,Ctenocidaris_gigantea
Crustacea,Ctenocidaris_gigantea
Detritus,Ctenocidaris_gigantea
Hydrozoa,Ctenocidaris_gigantea
