name,id,group,habitat,movement,metabolism,mass.g,mass.reference
Detritus,1,Non-living,Non-living,NA,detritus,-999.00000000000000,Jacob_etal_2011
Phytoplankton,2,Phytoplankton,Pelagic,sessile,primary producer,0.00000000000568,Jacob_etal_2011
Fish,3,Fish,Demersal,swimming,ectotherm vertebrate,1299.00000000000000,Jacob_etal_2011
Holothuria_sp,4,Echinodermata,Benthic,walking,invertebrate,3.16000000000000,Gutt_etal_1991
Octopoda,5,Cephalopoda,Pelagic,swimming,invertebrate,16.15000000000000,Jacob_etal_2011
Polychaeta,6,Polychaeta,Benthic,walking,invertebrate,499.60000000000000,Jacob_etal_2011
Bacillariophyta,7,Phytoplankton,Pelagic,sessile,primary producer,0.00000000000568,Jacob_etal_2011
Crustacea,8,Crustacea,Benthopelagic,swimming,invertebrate,834.06000000000000,Jacob_etal_2011
Euphausia_superba,9,Euphausia,Pelagic,swimming,invertebrate,5.50000000000000,Jacob_etal_2011
Copepoda,10,Crustacea,Benthopelagic,swimming,invertebrate,214.03000000000000,Jacob_etal_2011
Porifera,11,Porifera,Benthic,sessile,invertebrate,412.40000000000000,Jacob_etal_2011
Haliclona_dancoi,12,Porifera,Benthic,sessile,invertebrate,5.60000000000000,Jacob_etal_2011
Homaxinella_balfourensis,13,Porifera,Benthic,sessile,invertebrate,2.30000000000000,Jacob_etal_2011
Kirkpatrickia_variolosa,14,Porifera,Benthic,sessile,invertebrate,45.00000000000000,Jacob_etal_2011
Mycale_acerata,15,Porifera,Benthic,sessile,invertebrate,12.00000000000000,Jacob_etal_2011
Rossella_racovitzae,16,Porifera,Benthic,sessile,invertebrate,45.00000000000000,Jacob_etal_2011
Scolymastra_joubini,17,Porifera,Benthic,sessile,invertebrate,720.00000000000000,Jacob_etal_2011
Tetilla_leptoderma,18,Porifera,Benthic,sessile,invertebrate,30.00000000000000,Jacob_etal_2011
Amphipoda,19,Crustacea,Benthopelagic,swimming,invertebrate,593.20000000000000,Jacob_etal_2011
Cumacea,20,Crustacea,Benthopelagic,swimming,invertebrate,1.75000000000000,Jacob_etal_2011
